marca,modelo,version,precio,año,kilometros,combustible,transmision,potencia,puertas,link
Peugeot,Expert,1.5 BlueHDi 100CV,27200,2021.0,101600,diesel,MANUAL,95,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/98121354-3721.htm
Ford,Transit Connect,1.5 TDCi 75CV Trend,17200,2020.0,173500,gasolina,Automático,75,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/41979317-4979.htm
Peugeot,Partner,Electric 136CV,18600,2017.0,224300 km,EV,Automática,136,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/73048740-3675.htm
Fiat,Ducato,2.3 Multijet 160CV L3H3,24000,2021.0,113300,DIESEL,Automática,160,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/48882364-765.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,24500,21.0,97500,Diesel,manual,102,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/11371557-1026.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,28200,2024.0,23600,diesel,automático,115CV,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/59838873-5850.htm
Volkswagen,Caddy,,31600,2023.0,50600,diesel,manual,75CV,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/56571722-2889.htm
Renault,Trafic,2.0 Blue dCi 150CV Combi,19500,2021.0,91100,GASOLINA,Manual,150,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/24015628-3071.htm
Opel,Vivaro,1.5 Diesel 100CV,22300,2022.0,63000,DIESEL,M6,95,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/13620505-1132.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,21400,2020.0,128100,Gasoil,manual,97,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/17577987-3868.htm
Fiat,Ducato,,28700,2023.0,44500,Gasoil,Manual,160,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/57845082-1694.htm
Citroën,Berlingo,1.2 PureTech 110CV,25400,2024.0,14200,GASOLINA,Manual,110,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/27758737-1473.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,16900,2022.0,75000,Gasolina,M6,100,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/91878418-2153.htm
Peugeot,Partner,1.2 PureTech 110CV,15700,2023.0,27100,Gasolina,AT,110,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/16845681-1726.htm
Iveco,Daily,50C17 3.0 Caja Abierta,25100,2020.0,134300,,M,140,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/42723471-455.htm
Toyota,Proace City,1.5 D-4D 100CV,36000,2024.0,22000,GLP/Gasolina,Automático,95,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/20790215-5594.htm
Renault,Trafic,2.0 dCi 120CV L1H1,13300,2019.0,140400,diesel,manual,115,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/26874157-1713.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,18900,2023.0,38100,Diesel,manual,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/39369404-201.htm
Citroën,Jumpy,2.0 BlueHDi 120CV M,19300,2021.0,103400,Diesel,Manual,115,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/49954905-3627.htm
Volkswagen,Crafter,2.0 TDI 177CV L2H2,23100,2019.0,182500,Gasoil,MANUAL,182,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/86306173-4922.htm
Volkswagen,Crafter,2.0 TDI 102CV L3H2,28100,2024.0,22300,diesel,MANUAL,107,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/96211645-837.htm
Opel,Combo,1.5 Diesel 100CV Cargo L2,23000,2023.0,50200 km,Gasoil,MANUAL,100,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/61996292-963.htm
Volkswagen,Caddy,2.0 TDI 75CV,14400,2019.0,149000,Gasoil,MANUAL,80,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/28147529-2465.htm
Ford,Transit,2.0 EcoBlue 130CV Nugget,19500,2022.0,76800,gasoil,MANUAL,130,5.0,https://www.coches.net/vehiculos-industriales/ford-transit/74205866-91.htm
Nissan,NV200,1.5 dCi 90CV Evalia,22000,2019.0,155000,GASOLINA,Manual,85,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/42154519-3049.htm
Citroën,Jumpy,1.5 BlueHDi 100CV,,2023.0,54200,Diesel,Automático,100,5.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/18210437-4689.htm
Hyundai,H350,2.5 CRDi 170CV Combi,24500,2023.0,48900,Diésel,Auto,170,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/37276492-6274.htm
Nissan,NV400,2.3 dCi 110CV L2H2,20500 €,2023.0,37500,Electric,MANUAL,110,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/67495923-29.htm
Mercedes-Benz,Sprinter,316 CDI Gran Volumen,31500,2023.0,34400,Híbrido,Auto,102,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/16399019-5184.htm
Mercedes-Benz,Vito,119 CDI 4x4 Tourer Select,25500,2018.0,200900,Diesel,M6,100,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/49656239-4509.htm
Citroën,Jumpy,2.0 BlueHDi 150CV XL Business,14000,2021.0,84500,Gasoil,MANUAL,145,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/44828170-1133.htm
Toyota,Proace City,1.2 Turbo 110CV,26500,2023.0,38900,Hibrido,MANUAL,105,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/97039940-2618.htm
Citroën,Berlingo,1.2 PureTech 110CV,19400,2023.0,40200,Gasolina,MANUAL,110,3.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/27738280-2783.htm
Mercedes-Benz,Citan,110 CDI Tourer,23600,2020.0,150800,Diésel,manual,75,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/98215711-5743.htm
Peugeot,Partner,1.2 PureTech 110CV,17100,2021.0,113900,gasolina,M,110,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/61605335-3286.htm
Hyundai,H350,,16400,23.0,49000,gasolina,MANUAL,170,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/25990922-3710.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,24700,2021.0,103400,diesel,manual,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/16571716-5767.htm
Toyota,Proace City,1.5 D-4D 100CV,29000,2023.0,47800,Gasoil,M,105,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/88857859-2482.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,32300,2023.0,40500,Gasoil,Automática,75,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/44331466-6674.htm
Fiat,Doblo Cargo,1.6 Multijet 105CV,23100,2020.0,134000,,manual,100,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/35512210-4684.htm
Peugeot,Partner,1.2 PureTech 110CV,8200,2017.0,284000,Gasolina,,105,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/40302877-3252.htm
Maxus,EV80,Electric 120CV Furgon,34700,2022.0,70800,EV,Auto,125,3.0,https://www.coches.net/vehiculos-industriales/maxus-ev80/54284323-5177.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,19400,2021.0,109300,Gasoil,Automático,177,3.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/45163702-2292.htm
Renault,Kangoo,1.5 dCi 75CV Express,34900,2021.0,76500,Eléctrico,Automático,75,3.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/34342750-4304.htm
Nissan,NV200,1.5 dCi 90CV Evalia,24800,2022.0,72600,Diésel,Manual,95,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/56051083-1995.htm
Mercedes-Benz,Vito,119 CDI 4x4 Tourer Select,27900,2024.0,21400,gasoil,manual,75,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/12548166-6644.htm
Hyundai,H350,2.5 CRDi 170CV Combi,29400,2021.0,108600,Electric,Manual,170,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/28750157-3858.htm
Ford,Transit,2.0 EcoBlue 105CV Kombi,17800,2020.0,91300,gasoil,M6,105,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/51678962-5984.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,,,None km,CNG,manual,107,5.0,https://www.coches.net/vehiculos-industriales/man-tge/91716102-138.htm
Volkswagen,Transporter,2.0 TDI 102CV Kombi,21000,2018.0,221500,diesel,Manual,102,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/11730827-6398.htm
Opel,Combo,1.2 Turbo 110CV,24500,2022.0,78700,Gasoil,M6,115,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/14628852-6489.htm
Fiat,Scudo,1.5 Multijet 120CV,19500,2021.0,115600,Diesel,M6,120,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/41448725-6845.htm
Peugeot,Boxer,2.2 BlueHDi 140CV L3H3,"17300,00",2018.0,207400 km,Gasolina,manual,140,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/33820372-6754.htm
Fiat,Scudo,1.5 Multijet 120CV,8400,2016.0,233600,diesel,Manual,120,5.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/92191052-6488.htm
Volkswagen,Crafter,2.0 TDI 102CV L3H2,34400,2023.0,34400,Gasoil,MANUAL,107,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/99376635-6370.htm
Volkswagen,Crafter,2.0 TDI 177CV L2H2,38300,2024.0,20800,Diésel,manual,182,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/40737385-3478.htm
Mercedes-Benz,Sprinter,319 CDI 4x4,47200,2024.0,27900,MHEV,Manual,130,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/44273845-1615.htm
Hyundai,H350,2.5 CRDi 136CV L2H2,28000,2023.0,58600,gasoil,M,136,5.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/16375923-6393.htm
Mercedes-Benz,Sprinter,316 CDI L3H2,29200,2023.0,37800,diesel,Manual,75,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/26537936-4664.htm
Fiat,Doblo Cargo,1.3 Multijet 90CV,27500,2024.0,23300,Diésel,Manual,85,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/94120751-24.htm
Mercedes-Benz,Citan,110 CDI Tourer,14000,2019.0,145700,Hibrido,Automática,120,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/57274805-6784.htm
Opel,Combo,1.5 Diesel 100CV Cargo L2,23600,2021.0,89400,Gasoil,manual,100,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/66206761-1248.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,18400,2018.0,189300,gasolina,Manual,115,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/97479969-4131.htm
MAN,TGE,3.5 2.0 TDI 140CV L3H3 AWD,32000,2023.0,53200,Eléctrico (BEV),AT,140,3.0,https://www.coches.net/vehiculos-industriales/man-tge/34883308-5918.htm
Iveco,Daily,35S14 2.3 HPT L2H2,16200,2018.0,198100,Diésel,M,102,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/69702849-293.htm
Opel,Movano,2.3 CDTI 163CV FWD,21900,2022.0,54600,gasoil,manual,168,3.0,https://www.coches.net/vehiculos-industriales/opel-movano/35730322-5496.htm
Toyota,Proace City,1.5 D-4D 100CV,13800,2017.0,254200,,manual,100,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/96478582-4700.htm
Mercedes-Benz,Vito,119 CDI 4x4 Tourer Select,30300,2022.0,73700,Gasoil,Manual,75,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/56304944-4314.htm
Nissan,Primastar,2.0 dCi 114CV L2H1,31.000,2024.0,26200,EV,MANUAL,119 CV,5.0,https://www.coches.net/vehiculos-industriales/nissan-primastar/74713358-5056.htm
Nissan,Primastar,2.0 dCi 114CV L2H1,18800,2020.0,123800,DIESEL,M,,3.0,https://www.coches.net/vehiculos-industriales/nissan-primastar/52758488-5073.htm
Renault,Kangoo,,32400,2024.0,21000,Electric,Auto,90,3.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/60467061-669.htm
Fiat,Ducato,2.3 Multijet 160CV L3H3,18800,2021.0,106500,diesel,MANUAL,160,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/54604173-3092.htm
Volkswagen,Caddy,2.0 TDI 75CV,32700,2020.0,140600,gasoil,Manual,80,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/26944487-43.htm
Opel,Vivaro,2.0 CDTI 120CV L2H1,28100,2024.0,24600,gasoil,MANUAL,120,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/79321557-2318.htm
Mercedes-Benz,Citan,108 CDI Furgon,14100,2017.0,262600,Diesel,M6,150,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/71666393-5414.htm
Peugeot,Expert,1.5 BlueHDi 100CV,16800,2016.0,202500,Diésel,M6,95,5.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/61790520-852.htm
Citroën,Berlingo,1.2 PureTech 110CV,22200,2023.0,55400,gasolina,MANUAL,110,3.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/72053763-722.htm
Fiat,Ducato,2.0 Multijet 122CV Combi,25300,2024.0,21700 km,gasolina,,117,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/38700117-2678.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,23700,2023.0,51600,Gasolina,M6,100,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/76784614-6702.htm
Renault,,1.5 dCi 75CV Express,20300,2021.0,98900,gasoil,M,75,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/67356148-6772.htm
Mercedes-Benz,Citan,108 CDI Furgon,16900,2021.0,122800,DIESEL,M,110,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/17089230-5277.htm
Opel,Movano,2.3 CDTi 110CV L2H2,16000,,,DIESEL,M6,110,3.0,https://www.coches.net/vehiculos-industriales/opel-movano/80143908-6756.htm
Hyundai,H350,2.5 CRDi 170CV Combi,30100,2023.0,38200,DIESEL,manual,170,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/42790966-3836.htm
Peugeot,Boxer,2.2 HDi 130CV L2H2,27100,2024.0,27900,GASOLINA,MANUAL,,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/13447686-6471.htm
Volkswagen,Caddy,1.5 TSI 114CV,25600,2024.0,21700km,GASOLINA,MANUAL,114CV,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/40536214-4741.htm
Mercedes-Benz,Sprinter,211 CDI Combi,10600,2018.0,116900 km,gasoil,M6,75,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/87798642-1003.htm
Renault,Kangoo,1.5 dCi 75CV Express,27600,2024.0,22700,Diésel,Automático,80,3.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/51517045-723.htm
Opel,Combo,1.2 Turbo 110CV,17400,2019.0,166700,Diésel,M,110,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/63223087-6718.htm
Iveco,Daily,35C17 3.0 HPT L4H2,35500,2024.0,22900,Gasoil,Manual,130,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/49237816-1675.htm
Opel,Vivaro,,31500,2024.0,25700,Gasoil,Automático,125,3.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/13886292-4764.htm
Fiat,Ducato,2.3 Multijet 160CV L3H3,28000,2023.0,45700 km,,,155,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/71888947-280.htm
Fiat,Ducato,2.0 Multijet 122CV Combi,17400,2023.0,40300,Hibrido,MANUAL,122,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/94400837-2443.htm
Renault,Master,2.3 dCi 180CV L4H3,18700,2019.0,214700,diesel,Automático,175,3.0,https://www.coches.net/vehiculos-industriales/renault-master/59664361-4280.htm
Peugeot,Expert,1.5 BlueHDi 100CV,21600,2021.0,97000,Diésel,M6,100,5.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/98764963-4367.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,23100,2021.0,88100,Gasoil,M6,145,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/36893461-383.htm
Renault,Master,2.3 dCi 135CV Combi,21900,2021.0,112600,gasoil,M6,130,3.0,https://www.coches.net/vehiculos-industriales/renault-master/84130803-5110.htm
Peugeot,Boxer,2.2 HDi 130CV L2H2,23800,2021.0,125900,Diésel,M,130,,https://www.coches.net/vehiculos-industriales/peugeot-boxer/92717934-702.htm
Fiat,Doblo Cargo,1.6 Multijet 105CV,24100,2024.0,18900,diesel,M,105,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/89212029-6151.htm
Mercedes-Benz,Sprinter,316 CDI Gran Volumen,23600,2017.0,197500,gasoil,Manual,140,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/70210108-4190.htm
Ford,Transit,2.0 TDCi 170CV Custom Sport,26700,2024.0,11600 km,DIESEL,DSG,170,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/85751444-6158.htm
Opel,,1.2 Turbo 110CV,,2016.0,243000,Diésel,Manual,110,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/70062404-237.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,27900,2022.0,90200,Electric,,182,5.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/60803895-202.htm
Nissan,NV300,2.0 dCi 120CV L1H1,18000,2019.0,113900,Gasoil,M6,120,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv300/99060057-223.htm
Citroën,Jumpy,1.5 BlueHDi 100CV,7500,2015.0,263200,Diésel,MANUAL,105,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/27474139-4833.htm
Iveco,,50C17 3.0 Caja Abierta,26200,2023.0,46400 km,gasolina,Automático,110,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/26921542-6044.htm
Fiat,Doblo Cargo,,21000,2023.0,32600,gasoil,M6,105,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/26065016-1693.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,24200,2021.0,114500km,gasoil,manual,102,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/72466403-3080.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,15300,2017.0,214700,Gasoil,M6,110,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/89944732-4782.htm
Renault,Master,2.3 dCi 145CV L3H2 RWD,22400,2021.0,102700,DIESEL,M,145,3.0,https://www.coches.net/vehiculos-industriales/renault-master/66000303-2434.htm
Volkswagen,Crafter,2.0 TDI 177CV L2H2,27000,2021.0,82800,Diésel,DSG,177,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/17178828-3112.htm
Mercedes-Benz,Citan,110 CDI Tourer,13200,2015.0,180200,Diesel,manual,100,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/42444118-1381.htm
Citroën,Jumpy,2.0 BlueHDi 150CV XL Business,20000,,,Diésel,M,150CV,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/42641318-3811.htm
Toyota,Proace City,1.2 Turbo 110CV,17800,2021.0,83800,DIESEL,manual,105,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/66813128-6711.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,17200,2020.0,114600,diesel,automático,125,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/22887319-5608.htm
Toyota,Proace,2.0 D-4D 120CV L1 Comfort,19600,2020.0,116300,GASOLINA,Manual,120,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace/26581482-6744.htm
Peugeot,Expert,1.5 BlueHDi 100CV,17800,2020.0,133200,Diesel,MANUAL,105,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/81629587-2022.htm
Renault,Master,2.3 dCi 110CV L2H2 FWD,20400,19.0,164000,Gasoil,M,110,3.0,https://www.coches.net/vehiculos-industriales/renault-master/87986532-2656.htm
Opel,Vivaro,2.0 Diesel 180CV Combi,14100,2019.0,191800,Diésel,MANUAL,180,3.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/11382088-6081.htm
Iveco,Daily,50C17 3.0 Caja Abierta,25500,2024.0,19700,gasolina,Auto,150,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/81252175-615.htm
Renault,Kangoo,E-Tech Electric 90CV,26100,20.0,55300,Eléctrico,MANUAL,90 CV,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/74199228-3108.htm
Volkswagen,Transporter,2.0 TDI 102CV Kombi,36700 €,2023.0,35400,gasoil,automático,107,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/62969797-3044.htm
Ford,Transit,2.0 TDCi 130CV L2 H2 Trend,24400,2019.0,157600,gasoil,,130,5.0,https://www.coches.net/vehiculos-industriales/ford-transit/49179138-3743.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,17800,2017.0,252200,Diésel,Manual,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/95733862-384.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,29100,2023.0,56600,Diésel,Manual,125,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/47489167-1408.htm
Fiat,Ducato,2.3 Multijet 160CV L3H3,26600,2023.0,47500,Diésel,M6,155,5.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/25309189-3460.htm
Renault,Kangoo,1.5 Blue dCi 95CV Rapid,15300,2021.0,128900,diesel,Manual,95,3.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/93202772-6599.htm
Peugeot,Expert,2.0 BlueHDi 150CV Standard Premium,23200,2021.0,92400,Gasoil,manual,155,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/55771649-3973.htm
Renault,Trafic,2.0 Blue dCi 150CV Combi,17900,2023.0,53200,Diesel,Automático,150,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/99628108-3988.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,36600,2023.0,48000,Diésel,MANUAL,75,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/67611249-853.htm
Peugeot,Expert,2.0 BlueHDi 150CV Standard Premium,23200,2021.0,89500,Electric,manual,150,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/98394549-2520.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,22100,2023.0,38700,GASOLINA,Auto,100,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/74560412-6221.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,13200,2018.0,201000,Hybrid,M,145,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/85776373-53.htm
Mercedes-Benz,Citan,108 CDI Furgon,37700,2023.0,49500,Diesel,M,140,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/21962223-4303.htm
Nissan,Primastar,2.0 dCi 114CV L2H1,35600,2024.0,22300,,M,114,3.0,https://www.coches.net/vehiculos-industriales/nissan-primastar/15667242-3016.htm
Renault,Kangoo,,21600,2020.0,174900,Diésel,DSG,80,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/95649359-1207.htm
Ford,Transit Connect,1.5 TDCi 75CV Trend,32500,2024.0,24400,GASOLINA,,70,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/53656024-1929.htm
Citroën,Berlingo,1.2 PureTech 110CV,19800,2022.0,55600,Gasolina,MANUAL,105,3.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/37558497-5058.htm
Hyundai,H350,2.5 CRDi 170CV Combi,11600,2016.0,219800,Híbrido,M,170,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/48005031-5351.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,16700,2019.0,172000,Electrico,manual,120 CV,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/67329583-943.htm
Iveco,Daily,35S14 2.3 HPT L2H2,34100,2022.0,90600,gasoil,Auto,140,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/82353670-1627.htm
Toyota,Proace City,1.2 Turbo 110CV,32200,2022.0,79200,Gasoil,M6,105,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/92217064-6498.htm
Fiat,Ducato,2.0 Multijet 122CV Combi,30400,2023.0,46100,GASOLINA,Automático,127,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/37871826-2217.htm
Hyundai,H350,2.5 CRDi 170CV Combi,15400,2020.0,125600,DIESEL,Manual,175,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/49143456-1955.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,39300,2022.0,41900,diesel,Manual,102,5.0,https://www.coches.net/vehiculos-industriales/man-tge/29374563-105.htm
Toyota,Proace City,1.2 Turbo 110CV,15700,2019.0,167200,Diesel,M,115,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/55872166-6450.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,14800,,,diesel,M,120,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/56405710-180.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,27700,2022.0,66200,gasoil,Manual,140,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/90154379-768.htm
Nissan,NV200,1.5 dCi 90CV Evalia,22000,2023.0,36300,DIESEL,DSG,90,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/40686629-2508.htm
Nissan,NV200,1.5 dCi 90CV Evalia,21100,2022.0,83100,DIESEL,MANUAL,90,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/46956291-4406.htm
Citroën,Jumper,2.0 BlueHDi 130CV L3H2,26100,2022.0,89800,Diesel,M6,130,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumper/89532932-4213.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,32300 €,2023.0,47900,Autogás,automático,107,5.0,https://www.coches.net/vehiculos-industriales/man-tge/53566335-3041.htm
Renault,Trafic,2.0 Blue dCi 150CV Combi,26200,,,diesel,MANUAL,145,5.0,https://www.coches.net/vehiculos-industriales/renault-trafic/90969140-5396.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,11100,2017.0,214900,Gasolina,M,105,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/84329746-809.htm
Volkswagen,Caddy,2.0 TDI 75CV,39300,2023.0,63400,Electric,Manual,70,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/96331936-1669.htm
Opel,Combo,1.2 Turbo 110CV,19200,2022.0,62100km,Hibrido,Manual,110,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/13259190-1250.htm
Ford,Transit,2.0 EcoBlue 105CV Kombi,22600,2024.0,16700,Autogás,manual,,5.0,https://www.coches.net/vehiculos-industriales/ford-transit/14236230-3042.htm
Citroën,Jumpy,1.5 BlueHDi 100CV,15400,2016.0,277600,gasoil,M6,100,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/78261064-5538.htm
